subject,unit_category,units,year_level,degree,trimester,curriculum,description
CIT13,Lec/Lab,3,3rd yr,BSIT(ERP),2nd Trimester,2025-2026,Mastery in ERP
CIT8,PureLec,3,3rd yr,BSIT(ERP),3rd Trimester,2025-2026,IT Internship
CC17,Lec/Lab,3,3rd yr,BSCS,1st Trimester,2025-2026,Mobile Application Design and Development
CC11,PureLec,3,1st yr,BSIT,3rd Trimester,2025-2026,Communication in the Workplace
CC12,Lec/Lab,3,1st yr,BSIT,3rd Trimester,2025-2026,Statistical Design and Analysis
CC13,PureLec,3,1st yr,BSIT,3rd Trimester,2025-2026,Systems Design and Analysis
CC22,Lec/Lab,3,1st yr,BSIT,3rd Trimester,2025-2026,Introduction to Platform Technologies
PATHFIT3,PureLec,2,1st yr,BSIT,3rd Trimester,2025-2026,Martial Arts
NSTP2,PureLec,3,1st yr,BSIT,3rd Trimester,2025-2026,National Service Training Program 2
CC9,PureLec,3,1st yr,BSCS,3rd Trimester,2025-2026,Discrete Structures
CC10,Lec/Lab,3,1st yr,BSCS,3rd Trimester,2025-2026,Introduction to Networks
CC12,Lec/Lab,3,1st yr,BSCS,3rd Trimester,2025-2026,Statistical Design Analysis
CC13,PureLec,3,1st yr,BSCS,3rd Trimester,2025-2026,Systems Design and Analysis
SOCSCI100,PureLec,3,1st yr,BSCS,3rd Trimester,2025-2026,Art Appreciation
NSTP2,PureLec,3,1st yr,BSCS,3rd Trimester,2025-2026,National Service Training Program 2
SOCSCI103N,PureLec,3,1st yr,BSCS,3rd Trimester,2025-2026,The Contemporary World
PATHFIT3,PureLec,2,1st yr,BSCS,3rd Trimester,2025-2026,Martial Arts
CC12,Lec/Lab,3,1st yr,BSDA,3rd Trimester,2025-2026,Statistical Design and Analysis
CDA1,PureLec,3,1st yr,BSDA,3rd Trimester,2025-2026,Programming for Data Analytics 1
SOCSCI101N,PureLec,3,1st yr,BSDA,3rd Trimester,2025-2026,Ethics
NSTP2,PureLec,3,1st yr,BSDA,3rd Trimester,2025-2026,National Service Training Program 2
HIST101,PureLec,3,1st yr,BSDA,3rd Trimester,2025-2026,The Life and Works if RIzal
PATHFIT3,PureLec,2,1st yr,BSDA,3rd Trimester,2025-2026,Martial Arts
CCS14,Lec/Lab,3,1st yr,BMMA,3rd Trimester,2025-2026,Digital Animation
MCC7,PureLec,3,1st yr,BMMA,3rd Trimester,2025-2026,Color Theory
MMC1,Lec/Lab,3,1st yr,BMMA,3rd Trimester,2025-2026,Digital Photography
SCIENCE100,PureLec,3,1st yr,BMMA,3rd Trimester,2025-2026,Science; Technology and Society
SOCSCI100,PureLec,3,1st yr,BMMA,3rd Trimester,2025-2026,Art Appreciation
PATHFIT3,PureLec,2,1st yr,BMMA,3rd Trimester,2025-2026,Martial Arts
NSTP2,PureLec,3,1st yr,BMMA,3rd Trimester,2025-2026,National Service Training Program 2
CC5,Lec/Lab,3,2nd yr,BSIT(Webtech),1st Trimester,2025-2026,Information Management
CIT1,PureLec,3,2nd yr,BSIT(Webtech),1st Trimester,2025-2026,Quantitative Analysis
CIT24,Lec/Lab,3,2nd yr,BSIT(Webtech),1st Trimester,2025-2026,Switching; Routing; and Wireless Essentials
CIT5,PureLec,3,2nd yr,BSIT(Webtech),1st Trimester,2025-2026,Accounting Essentials
CIT14,Lec/Lab,3,2nd yr,BSIT(Webtech),1st Trimester,2025-2026,Web Technologies
SOCSCI101N,PureLec,3,2nd yr,BSIT(Webtech),1st Trimester,2025-2026,Ethics
PATHFIT4,PureLec,2,2nd yr,BSIT(Webtech),1st Trimester,2025-2026,Outdoor and Adventure Activities
CC5,Lec/Lab,3,2nd yr,BSIT(NetSec),1st Trimester,2025-2026,Information Management
CIT1,PureLec,3,2nd yr,BSIT(NetSec),1st Trimester,2025-2026,Quantitative Analysis
CIT24,Lec/Lab,3,2nd yr,BSIT(NetSec),1st Trimester,2025-2026,Switching; Routing; and Wireless Essentials
CIT5,PureLec,3,2nd yr,BSIT(NetSec),1st Trimester,2025-2026,Accounting Essentials
CIT19,Lec/Lab,3,2nd yr,BSIT(NetSec),1st Trimester,2025-2026,Mastery in Networks
SOCSCI101N,PureLec,3,2nd yr,BSIT(NetSec),1st Trimester,2025-2026,Ethics
PATHFIT4,PureLec,2,2nd yr,BSIT(NetSec),1st Trimester,2025-2026,Outdoor and Adventure Activities
CC5,Lec/Lab,3,2nd yr,BSIT(ERP),1st Trimester,2025-2026,Information Management
CIT1,PureLec,3,2nd yr,BSIT(ERP),1st Trimester,2025-2026,Quantitative Analysis
CIT24,Lec/Lab,3,2nd yr,BSIT(ERP),1st Trimester,2025-2026,Switching; Routing; and Wireless Essentials
CIT5,PureLec,3,2nd yr,BSIT(ERP),1st Trimester,2025-2026,Accounting Essentials
CIT9,PureLec,3,2nd yr,BSIT(ERP),1st Trimester,2025-2026,Business Process Management
SOCSCI101N,PureLec,3,2nd yr,BSIT(ERP),1st Trimester,2025-2026,Ethics
PATHFIT4,PureLec,2,2nd yr,BSIT(ERP),1st Trimester,2025-2026,Outdoor and Adventure Activities
CC5,Lec/Lab,3,2nd yr,BSCS,1st Trimester,2025-2026,Information management
CC24,PureLec,3,2nd yr,BSCS,1st Trimester,2025-2026,Probabilty Theory
CCS2,PureLec,3,2nd yr,BSCS,1st Trimester,2025-2026,Design and Analysis or Algorithm
CCS5,PureLec,3,2nd yr,BSCS,1st Trimester,2025-2026,Computer Architecture and organization
CCS12,Lec/Lab,3,2nd yr,BSCS,1st Trimester,2025-2026,Graphics Design
SOCSCI101N,PureLec,3,2nd yr,BSCS,1st Trimester,2025-2026,Ethics
PATHFIT4,PureLec,2,2nd yr,BSCS,1st Trimester,2025-2026,Outdoor and Adventure Activities
CC5,Lec/Lab,3,2nd yr,BSDA,1st Trimester,2025-2026,Information Management
CDA2,PureLec,3,2nd yr,BSDA,1st Trimester,2025-2026,Relational and No SQL Databases
CDA3,PureLec,3,2nd yr,BSDA,1st Trimester,2025-2026,Big Data Fundamentals
CIT9,PureLec,3,2nd yr,BSDA,1st Trimester,2025-2026,Business Process Management
CDA4,Lec/Lab,3,2nd yr,BSDA,1st Trimester,2025-2026,Programming for Data Analytics 2
PATHFIT4,PureLec,2,2nd yr,BSDA,1st Trimester,2025-2026,Outdoor and Adventure Activities
MMC17,PureLec,3,2nd yr,BMMA,1st Trimester,2025-2026,Theory of Games
MMC2,Lec/Lab,3,2nd yr,BMMA,1st Trimester,2025-2026,2D Animation Techniques
MMC3,Lec/Lab,3,2nd yr,BMMA,1st Trimester,2025-2026,3D Modeling and Scene Design
CCS12,Lec/Lab,3,2nd yr,BMMA,1st Trimester,2025-2026,Graphics Design
HIST100,PureLec,3,2nd yr,BMMA,1st Trimester,2025-2026,Readings in Philippines History
SOCSCI101N,PureLec,3,2nd yr,BMMA,1st Trimester,2025-2026,Ethics
PATHFIT4,PureLec,2,2nd yr,BMMA,1st Trimester,2025-2026,Outdoor and Adventure Activities
CC14,Lec/Lab,3,2nd yr,BSIT(Webtech),2nd Trimester,2025-2026,Web Application Development
CC19,Lec/Lab,3,2nd yr,BSIT(Webtech),2nd Trimester,2025-2026,Data Mining
CC18,PureLec,3,2nd yr,BSIT(Webtech),2nd Trimester,2025-2026,Social and Professional issues
CIT3,PureLec,3,2nd yr,BSIT(Webtech),2nd Trimester,2025-2026,IT Project Management
CIT15,Lec/Lab,3,2nd yr,BSIT(Webtech),2nd Trimester,2025-2026,Multimedia Systems
SCIENCE100,PureLec,3,2nd yr,BSIT(Webtech),2nd Trimester,2025-2026,Science; Technology and Society
CORDI101,PureLec,3,2nd yr,BSIT(Webtech),2nd Trimester,2025-2026,Cordilleras: History and Socio-Cultural Heritage
