subject,unit_category,units,year_level,degree,trimester,curriculum,description
CIT1,PureLec,3,2nd yr,BSIT(ERP),1st Trimester,2024-2025,Quantitative Analysis
CIT24,Lec/Lab,3,2nd yr,BSIT(ERP),1st Trimester,2024-2025,Switching; Routing; and Wireless Essentials
CIT5,PureLec,3,2nd yr,BSIT(ERP),1st Trimester,2024-2025,Accounting Essentials
CIT9,PureLec,3,2nd yr,BSIT(ERP),1st Trimester,2024-2025,Business Process Management
SOCSCI101N,PureLec,3,2nd yr,BSIT(ERP),1st Trimester,2024-2025,Ethics
PATHFIT4,PureLec,2,2nd yr,BSIT(ERP),1st Trimester,2024-2025,Outdoor and Adventure Activities
CC5,Lec/Lab,3,2nd yr,BSCS,1st Trimester,2024-2025,Information management
CC24,PureLec,3,2nd yr,BSCS,1st Trimester,2024-2025,Probabilty Theory
CCS2,PureLec,3,2nd yr,BSCS,1st Trimester,2024-2025,Design and Analysis or Algorithm
CCS5,PureLec,3,2nd yr,BSCS,1st Trimester,2024-2025,Computer Architecture and organization
CCS12,Lec/Lab,3,2nd yr,BSCS,1st Trimester,2024-2025,Graphics Design
SOCSCI101N,PureLec,3,2nd yr,BSCS,1st Trimester,2024-2025,Ethics
PATHFIT4,PureLec,2,2nd yr,BSCS,1st Trimester,2024-2025,Outdoor and Adventure Activities
CC5,Lec/Lab,3,2nd yr,BSDA,1st Trimester,2024-2025,Information Management
CDA2,PureLec,3,2nd yr,BSDA,1st Trimester,2024-2025,Relational and No SQL Databases
CDA3,PureLec,3,2nd yr,BSDA,1st Trimester,2024-2025,Big Data Fundamentals
CIT9,PureLec,3,2nd yr,BSDA,1st Trimester,2024-2025,Business Process Management
CDA4,Lec/Lab,3,2nd yr,BSDA,1st Trimester,2024-2025,Programming for Data Analytics 2
PATHFIT4,PureLec,2,2nd yr,BSDA,1st Trimester,2024-2025,Outdoor and Adventure Activities
MMC17,PureLec,3,2nd yr,BMMA,1st Trimester,2024-2025,Theory of Games
MMC2,Lec/Lab,3,2nd yr,BMMA,1st Trimester,2024-2025,2D Animation Techniques
MMC3,Lec/Lab,3,2nd yr,BMMA,1st Trimester,2024-2025,3D Modeling and Scene Design
CCS12,Lec/Lab,3,2nd yr,BMMA,1st Trimester,2024-2025,Graphics Design
HIST100,PureLec,3,2nd yr,BMMA,1st Trimester,2024-2025,Readings in Philippines History
SOCSCI101N,PureLec,3,2nd yr,BMMA,1st Trimester,2024-2025,Ethics
PATHFIT4,PureLec,2,2nd yr,BMMA,1st Trimester,2024-2025,Outdoor and Adventure Activities
CC14,Lec/Lab,3,2nd yr,BSIT(Webtech),2nd Trimester,2024-2025,Web Application Development
CC19,Lec/Lab,3,2nd yr,BSIT(Webtech),2nd Trimester,2024-2025,Data Mining
CC18,PureLec,3,2nd yr,BSIT(Webtech),2nd Trimester,2024-2025,Social and Professional issues
CIT3,PureLec,3,2nd yr,BSIT(Webtech),2nd Trimester,2024-2025,IT Project Management
CIT15,Lec/Lab,3,2nd yr,BSIT(Webtech),2nd Trimester,2024-2025,Multimedia Systems
SCIENCE100,PureLec,3,2nd yr,BSIT(Webtech),2nd Trimester,2024-2025,Science; Technology and Society
CORDI101,PureLec,3,2nd yr,BSIT(Webtech),2nd Trimester,2024-2025,Cordilleras: History and Socio-Cultural Heritage
CIT14,Lec/Lab,3,2nd yr,BSIT(NetSec),2nd Trimester,2024-2025,Web Application Development
CC19,Lec/Lab,3,2nd yr,BSIT(NetSec),2nd Trimester,2024-2025,Data mining
CC18,PureLec,3,2nd yr,BSIT(NetSec),2nd Trimester,2024-2025,Social and Professional Issues
CIT3,PureLec,3,2nd yr,BSIT(NetSec),2nd Trimester,2024-2025,IT Project Management
CIT25,Lec/Lab,3,2nd yr,BSIT(NetSec),2nd Trimester,2024-2025,Enterprise Networking; Security; and Automation
SCIENCE100,PureLec,3,2nd yr,BSIT(NetSec),2nd Trimester,2024-2025,Science; Technology and Society
CORDI101,PureLec,3,2nd yr,BSIT(NetSec),2nd Trimester,2024-2025,Cordilleras: History and Socio-Cultural Heritage
CC14,Lec/Lab,3,2nd yr,BSIT(ERP),2nd Trimester,2024-2025,Web Application Development
CC19,Lec/Lab,3,2nd yr,BSIT(ERP),2nd Trimester,2024-2025,Data Mining
CC18,PureLec,3,2nd yr,BSIT(ERP),2nd Trimester,2024-2025,Social and Professional Issues
CIT3,PureLec,3,2nd yr,BSIT(ERP),2nd Trimester,2024-2025,IT Project Management
CIT10,Lec/Lab,3,2nd yr,BSIT(ERP),2nd Trimester,2024-2025,ERP Configuration
SCIENCE100,PureLec,3,2nd yr,BSIT(ERP),2nd Trimester,2024-2025,Science; Technology and Society
CORDI101,PureLec,3,2nd yr,BSIT(ERP),2nd Trimester,2024-2025,Cordilleras: History and Socio-Cultural Heritage
CC19,Lec/Lab,3,2nd yr,BSCS,2nd Trimester,2024-2025,Data Mining
CC23,Lec/Lab,5,2nd yr,BSCS,2nd Trimester,2024-2025,Calculus
CCS3,PureLec,3,2nd yr,BSCS,2nd Trimester,2024-2025,Automata and language Theory
CCS8,Lec/Lab,3,2nd yr,BSCS,2nd Trimester,2024-2025,Software Engineering
CCS13,PureLec,3,2nd yr,BSCS,2nd Trimester,2024-2025,Optimization Theory
CORDI101,PureLec,3,2nd yr,BSCS,2nd Trimester,2024-2025,Cordilleras: History and Socio-Cultural Heritage
CC18,PureLec,3,2nd yr,BSDA,2nd Trimester,2024-2025,Social and Professional Issues
CC19,Lec/Lab,3,2nd yr,BSDA,2nd Trimester,2024-2025,Data Mining
CDA5,Lec/Lab,3,2nd yr,BSDA,2nd Trimester,2024-2025,Data Warehousing Fundamentals
CIT1,PureLec,3,2nd yr,BSDA,2nd Trimester,2024-2025,Quantitative Analysis
CIT3,PureLec,3,2nd yr,BSDA,2nd Trimester,2024-2025,Data Mining
FL100,PureLec,3,2nd yr,BSDA,2nd Trimester,2024-2025,Foreign Culture and language
CORDI101,PureLec,3,2nd yr,BSDA,2nd Trimester,2024-2025,Cordilleras: History and Socio-Cultural Heritage
MMC18,Lec/Lab,3,2nd yr,BMMA,2nd Trimester,2024-2025,Game Design
